विठ्ठल vitthal
माणिकराव manikrao
शंतनु shantanu
ज्योती jyoti
अंबर ambar
अनंता ananta
महाराष्ट्र maharashtra
लक्ष्मण laxman
संपदा sampada
वर्धमान vardhaman
रामप्रसाद ramprasad
आशुतोष ashutosh
महेश mahesh
उकर्डा ukarda
आलेख alekh
एकनाथ eknath
ज्ञानेश्वर dnyaneshwar
अंबरनाथ ambarnath
गोरक्ष goraksh
रामराव ramrao
दौलत daulat
राजेंद्र rajendra
रघुनाथ raghunath
सुरेश suresh
मनोहर manohar
राजेश rajesh
दामिनी damini
सुरेश suresh
दिशा disha
रुची ruchi
समाधान samadhan
मधुरा madhura
शांताराम shantaram
प्रसाद prasad
पार्थ parth
अपर्णा aparna
अमोल amol
अविनाश avinash
अर्चना archana
पुर्वा purva
दौलत daulat
राजु raju
गोपाल gopal
चंद्रकांत chandrakant
योगिनी yogini
उर्मिला urmila
नितिन nitin
भाद्रपद bhadrapad
चैत्र chaitra
चैताली chaitali
चैत्राली chaitrali
वैशाली vaishali
मलय malay
अंगारिका angarika
सागरिका sagarika
आदर्श adarsh
राहुल rahul
राजेन्द्र rajendra
प्रकाश prakash
हर्ष harsh
अर्नव arnav
आर्यन aryan
अथर्व atharva
राघव raghav
ममता mamata
वामन vaman
हरिभाऊ haribhau
लक्ष्मनराव laxmanrao
जनार्दनराव janardanrao
गजाननराव gajananrao
राजेश rajesh
हेमंत hemant
बबन baban
रमन raman
अरविंद aravind
वीना veena
रितु ritu
सोनाली sonali
प्रणव pranav
गणेश ganesh
विरेन viren
प्रभा prabha
रिया riya
प्रिया priya
विलास vilas
अनंता ananta
वृषाली vrishali
मानव manav
अहमद ahmad
अमजद amzad
रामचंद्र ramchandra
आबासाहेब abasaheb
अस्मिता asmita
निधी nidhi
करुणा karuna
भिमराव bhimrao
उदय uday
राजकमल rajkamal
राकेश rakesh
रमेश ramesh
केदारनाथ kedarnath
ब्रम्हा brahma
इंद्र indra
विश्वकर्मा vishwakarma
महादेव mahadeo
सहदेव sahdeo
अमोल amol
सत्यम satyam
ओम om
ओंकर onkar
ओंकरनाथ onkarnath
ओमप्रकाश omprakash
कृष्णा krishna
राधाकृष्ण radhakrishna
रामकृष्ण ramkrishna
कृष्णप्रकाश krishnaprakash
ममता mamata
श्रीधर shridhar
ऋषी rushi
श्रीराम shriram
श्रीरंग shrirang
मिता mita
सुनिता sunita
ऐश्वर्या aishwarya
बाळ bal
दामोधर damodhar
विनोद vinod
मनमोहन manmohan
आभास abhas
आदेश adesh
अमरिश amarish
सत्यजीत satyajeet
आदि adi
आदिल adil
आदिनाथ adinath
अफरीन afrin
अफरीन afrin
आफताब aftab
आघोश aghosh
आकर्श akarsh
आकर्षन akarshan
रवि ravi
महेंद्रसिंग mahendrasingh
सुनिल sunil
सचिन sachin
विराट virat
रोहित rohit
गौतम gautam
कृष्णकांत krishnakant
दगडु dagadu
राणी rani
दीपिका dipika
अमिताब amitab
अभिताब abhitab
प्रिति priti
आदित्य aditya
श्रीराम shriram
निळु nilu
रत्नाकर ratnakar
शाहरुख shahrukh
सलमान salman
आमिर amir
सैफ saif
राज raj
धर्मेंद्र dharmendra
ओसामा osama
रविंद्र ravindra
विरेंद्र virendra
अनुराग anurag
भानुप्रताप bhanupratap
अमर amar
कमलनाथ kamalnath
भास्कर bhaskar
भानुदास bhanudas
अभिमन्यु abhimanyu
अर्जुन arjun
नकुल nakul
सह्देव sahdeo
युधिष्ठिर yudhishthir
राम ram
रावण ravan
सीता seeta
कर्ण karna
दुर्योधन duryodhan
प्रणय pranay
धृतराष्ट्र dhritrashtra
भिम bhim
मराज maraj
द्रोपदी dropadi
रुख्मिणी rukhmini
पांडुरंग pandurang
व्यास vyas
मारिच marich
शत्रुघ्न shatrughna
वाल्मिक valmik
सुग्रीव sugriv
वाली vali
शुक्राचार्य shukracharya
द्रोणाचार्य dronacharya
शबरी shabari
कंस kans
वासुदेव vasudeo
बिभिषन bibhishan
सत्यभामा satyabhama
कृष्णकांत krishnakant
लक्ष्मीकांत laxmikant
रामचंद्र ramchandra
हिडींबा hidimba
रामरतन ramratan
रतन ratan
शुभंकर shubhankar
मनेका maneka
माणिक manik
सिताराम sitaram
हृतिक hritik
नंदा nanda
वंदना vandana
मुरली murali
सायली sayali
पायली payali
माउली mauli
प्रेरणा prerana
रचना rachana
साधना sadhana
जानकी janaki
जानकीराम janakiram
रमेशलाल rameshlal
अनिल anil
शंकर shankar
द्त्तात्रय dttatray
आलोकनाथ aloknath
रामदेव ramdeo
कमलकीशोर kamalkishor
अमेय amey
शर्वरी sharwari
करन karan
अथर्व atharva
हर्षवर्धन harshwardhan
चिन्मय chinmay
प्राजक्ता prajakta
त्रिशा trisha
मुक्ता mukta
सलोनी saloni
निता nita
तरुण tarun
निरंजन niranjan
कौशल kaushal
धृव dhriv
साहिल sahil
शार्दुल shardul
आशिष ashish
वरद varad
इशा isha
मानसी manasi
उर्मी urmi
सिद्दी siddi
ऋतु rutu
चिनी chini
पुजा puja
अव्दैत avdait
भाग्यश्री bhagyashri
अंकुर ankur
सानिका sanika
प्राची prachi
मुग्धा mugdha
सृष्टी srushti
वैष्णवी vaishnavi
अनुष्का anushka
ऋचा rucha
प्रल्हाद pralhad
भगवान bhagwan
पांडुरंग pandurang
रमेश ramesh
रोहन rohan
रोहित rohit
प्रतिभा pratibha
तानाजी tanaji
शिवाजी shivaji
बाजीराव bajirao
आकाश akash
आकाशदीप akashdeep
आलम alam
कुशल kushal
वसंत vasant
वत्सला vatsala
ओंकार onkar
आत्माराम atmaram
आलाप alap
आरिफ arif
गिरिजाबाई girijabai
श्रीहरी shrihari
नरेंद्र narendra
नरेंद्र narendra
गंगुबाई gangubai
राधेश्याम radheshyam
सुभाष subhash
अर्थ arth
आरुश arush
आशिष ashish
आसिम asim
आत्मप्रकाश atmaprakash
आझम azam
कांताबाई kantabai
सुमन suman
मोतीराम motiram
पंकज pankaj
गोविंद govind
मधुकर madhukar
जालिंदर jalindar
वहिदा vahida
कालिदास kalidas
माधुरी madhuri
स्नेहल snehal
