अनुत्तम anuttam
मंडपे mandape
हॉप्किंस hopkins
आसरे asare
जुनैद junayd
ऑफ of
अंबाली ambali
सायीमणी sayimani
मद्रे madre
सेवाराम sevaaraam
शाही shahi
तोईयाबे toiyabe
कोहराखुर्द kohrakhurd
सोनगाव songaon
सैफुल saful
कवठ kavath
भिसे bhise
राकुसलेवाडी rakuslewadi
हीरा heera
बराइग्राम baraigram
कृष्णकिशोर krishnakishor
फन fan
परोळा parola
वढाव vadhav
कीट्स keats
पॉलीडेक्स polydex
बस्सा bassa
खिवशी khivashi
हलदौर haldaur
अग्निहोत्री agnihotri
राजे raje
जिवल jival
नित्यप्रिया nityapriya
देवघर devghar
की ki
पेट्रोनस petronas
केप cape
सिआद siad
बैद्यनाथधाम baidyanathdham
भानुचंदर bhanuchandar
श्रीधर shridhar
कांगवई kangwai
निखोज nikhoj
ताकत taqat
पथरडदेवी pathraddevi
शम्पा shampa
टीसाइड teeside
अल्मोडा almoda
किलमोर kylemore
कैनो canoe
पटेल patel
मायिन mayin
तमीमाह tameemah
बिनिता binita
एंजेल angel
हगदल hagdal
बोध bodh
पोहो poho
ऑफर्ट olfert
दांदळे dandale
मंगरूळ mangrul
कालकोटी kalkoti
सिल्वैन silvain
गुंथर gunther
लउळ lul
आफताब aftab
वाळुंज walunj
नाउर naur
सूरदास surdas
अनुश्री anushri
केडिलीहा kediliha
खापरपांगरी khaparpangari
अवार्ड award
कपासन kapasan
मोहम्मदाबाद mohammadabad
चंद्र chandra
नळावणे nalawane
नजला najla
नांद्रा nandra
वलप valap
इंदुकांत indukant
मंडल mandal
दंगेवाडी dangewadi
प्रियव्रता priyavrata
शियाम shiyam
अल्कली alkali
रॉयल royal
रसिका rasikaa
बिकानेर bikaner
सागबाडा sagbada
मनीरत्ना maniratna
दौंड daund
कैलकटा calcutta
थी thi
गोपालखेड gopalkhed
कुरमाधी kurmadhi
सिंगार singaar
कहो kaho
अहमद ahmed
आदिल adil
गौरखेडा gaurkheda
योगेश yogesh
निंबारी nimbari
मुकिंदपुर mukindpur
ऑफ of
नांदगाव nandgaon
सुदेवा sudeva
ऑफ of
लैडी laddie
गोसावी gosavi
केळीरुहंवाडी keliruhamwadi
ड्राइव drive
सच sach
बाज़ार bazaar
डेमोक्रेटी democratie
साहनी sahani
अमृतलीन amritleen
कारेगाव karegaon
नार्लेकर naarlekar
नाव nao
बेंबळी bembali
पुलकित pulkit
प्रेम prem
नालायक nalayak
रामगोपाल ramgopal
रतन ratan
द the
रविज ravij
का ka
कनार kanar
देवावाचीवाडी devavachiwadi
नवर nawar
कणेरी kaneri
सेलिंग sailing
सेंटोज़ santos
खेता kheta
वर्वे varve
वाजिद waajid
बेलूरखुर्द belurkhurd
ननेटे nanette
सूर्यानार suryanar
हिगिंस higgins
डॉ dow
शिवमुरुगन shivmurugan
नॉन्गक्रेम nongkrem
अक्कलवाडी akkalwadi
ख़ार्का kharqa
सैन्टा santa
बाली balee
सरोळा sarola
पिशोर pishor
अमृतमालिनी amritmalini
अथरवन atharvan
बुधदेव budhdeo
अखिला akhila
की ki
अमिता amitaa
तारामती taramati
विजयानंद vijayanand
पुष्पेश्वर pushpeshwar
ग्रांट grant
कोरटेक kortek
भुला bhula
विद्याधरी vidyadhari
बिरगाव birgaon
दावर dawar
ऑफ of
देखी dekhi
अस्थावान asthawan
मुक्तादेवी muktadevi
शानदार shandaar
प्रमदा pramada
पोहनेर pohner
काविसकर kaviskar
निगम nigam
अशिव ashiv
खेडगाव khedgaon
सासनगिर sasangir
मायाशंकर mayashankar
न्यू new
नारायणा narayana
वृतिका vritika
बाज़ूबंद bazooband
निरामय niramay
ज्वार jwar
भोरड bhorad
ऑक्टोबर october
वनमाली vanamaalee
फज़्ल fazl
मौनिका maunika
हसापुर hasapur
ऑफ of
धुलापूर dhulapur
गिरगाव girgaon
ग्यानप्रकाश gyanprakash
पांगरखेडा pangarkheda
शमा shama
यू you
गुनवंता gunvanta
बरेली bareli
झूठा jhootha
सुव्रत suvrat
पियर्स pearse
जहदमाह jahdamah
झईना zaina
फणींद्र fanindra
तनिश tanish
सपेरा sapera
मारवी marvi
भिवंडी bhivandi
पाले pale
एण्ड्रॉस andros
सुमनबाला sumanbala
मासेवाडी masewadi
जयवंत jayvant
रीवा riwa
दिल dil
दिव्येंदु divyendu
येसगाव yesgaon
टेरेंस terence
हलगारा halgara
गादेगावखुर्द gadegavkhurd
सुखकर sukhkar
प्रहास prahas
वाघिरा waghira
सरिल saril
एपर्ट appert
वघई vaghai
पांगरीघारे pangrighare
बरुआ barua
एंब्यूरे emburey
पालशिवाने palshivane
जीवनलता jivanlata
किनखेडा kinkheda
गुरूद्वारा gurudwara
प्रियंका priyanka
अखिलेश्वर akhileshwar
कलहान kalhan
जलाधी jaladhi
प्रभुधा prabhudha
चिखले chikhale
दूसरी doosri
पाहु pahu
मुजाहिद mujahid
ए e
खेरवाडी kherwadi
तिकाराम tikaram
कोमल komal
खाफिद khafid
निगडे nigade
जरूरतांडा jarurtanda
नवरोज़ navroz
अमला amala
फ्रेंकलिन franklin
का ka
स्माउटाकेर smoutakker
निरुप nirup
म्युनिसिपल municipal
संदेश sandesh
निनाद ninad
गैथ ghaith
आभिजात aabhijaat
यह yeh
व्हाइट white
गोरटी gorati
अंतर्प्रीत antarpreet
सारदा sarada
सेठिया sethiya
कुटेवाडी kutewadi
दोज़ख dozakh
ट्वायला twyla
की ki
तृष्णा trishna
राम ram
वडनेर wadner
अष्टेकर ashtekar
आनंदमयी aanandmayi
रॉयल royal
हरसाद harsad
ऑडर order
वरुरखुर्द varurkhurd
स्वरा swara
फोर्ट fort
साठे sathe
मोहन mohan
सैन san
निरुती niruti
स्वरुपलक्ष्मी swaruplaxmi
माळशिरस malshiras
सुरिंदरजीत surindarjeet
हौशाब hawshab
आत्मज्योति atmajyoti
हारून harun
बस्ती basti
पिंपळा pimpala
डॉलर dollar
फैजाबाद faizabad
बहजोई bahjoi
पार्थ parth
बरगाव bargaon
ओमर omar
दिघाडी dighadi
लुणी luni
कोला cola
शरीना sharina
कोप्को copco
कामेंग kameng
सज्जाद sajjad
तेरी teri
रामसिन ramsin
डेवीस davies
बनारहट banarhat
घोल ghol
मंजारी manjari
लोवर lower
लोळेश्वर loleshwar
कारण kaaran
बोइसर boisar
रैकाह raiqah
किला kila
नशीं nasheen
ब्रूस bruce
अख्तियार akhtiyar
सारोळे sarole
भिनवालिया bhinwaliya
मुरली murali
फ़्रुड freud
केमल cemal
कंजाळा kanjala
वरदंबा vardamba
सरदेसाई sardesai
दया daya
रेल्वे railway
हिंघनगाव hinghangaon
हेराल्डिक heraldic
गोहाना gohana
हॉज hodge
बरटॉन burton
कोल kol
पब्लिक public
सिवराम sivram
रेल्वे railway
सायगाव saygaon
वत्सला vatsala
कल्चर culture
तृप्ता trupta
पिंपळालोखंडे pimplalokhande
शंखमणी shankhmani
गुंडेवाडी gundewadi
चित्तीबाबु chittibabu
नारंग narang
हींगे hinge
बन्फ़ banff
थॉमस thomas
मेमोरियल memorial
क्लीवेंट cleave
इनस inas
अभिराम abhiram
उदत्त udutt
गांधी gandhi
साया saya
राजना rajana
प्रेवसी prevasi
अस्बत asbat
मेडलिस्ट medalists
कळमुस्ता kalmusta
मुकिंदपूर mukindpur
करजगाव karajgaon
एज़्टेक aztec
महोदर mahodar
लैक्रोस lacrosse
रामगाव ramgaon
सुप्रीम supreme
विनम्र vinamr
क्वेटज़ल quetzal
सुहैला suhaila
बहुरुपी bahurupi
हरल haral
केयूर keyur
आघोश aghosh
मारुतवन marutvan
केंट kent
परमिता parmita
खुपिरे khupire
धिर dhir
मांजरसुंबा manjarsumba
आशिष ashish
एट्टुमान्नूर ettumanoor
अभिलय abhilay
व़कार waqar
देवदहिफळ devdahifal
पिडिलाइट pidilite
आतिशबाज़ atishbaaz
कपेश्वर kapeshwar
जहागीरपूर jahagirpur
राकेंद्र rakendra
देवराई devrai
पाणजे panaje
प्लेयर player
मृगेंद्र mrigendra
पुरी puri
वाले wale
बिलहार bilhar
जैसे jaise
सैफियाह safiyyah
क्रिटेन cretan
सुफ़ापोंग suphapong
अर्श arsh
बाही bahi
स्टेडमैन stedman
मुस्कुरा muskura
शिर्डी shirdi
मैगट्स magots
स्कूल school
मोप mop
ज्वाला jwala
चिन्मय chinmay
नाजुकराव najukrao
जंक्शन junction
हमीदाह hamidah
सांतलपूर santalpur
जांभा jambha
क्लॉड claude
बलराम balaram
प्रजीत prajit
ननौती nanauti
हेमिंग्वे hemingway
इनीशिएटिव initiative
सुभाषीनी subhashini
हिरण्या hiranya
स्वयं swayam
जेऊरपाटोदा jeurpatoda
सुशंता sushanta
बजरंग bajrang
केदारवाकडी kedarwakadi
धालेवाडी dhalewadi
कैनलोपॉलस canellopoulos
गुणवती gunvati
दुमरांव dumraon
का ka
पानकनेरगाव pankanergaon
की ki
अंशी anshi
फिप्पल fipple
गौरगाव gaurgaon
जमिल jamil
देविकृपाल devikripal
प्यार pyar
लूसेनो luseno
सीवन siwan
आसिया asiya
रामाशीश ramashish
चोरंबानर्हे chorambanarhe
अलवड alwad
डेब्रा debra
गुनिका gunika
तलासरी talasari
अजवाद ajwad
सस्मिता sasmita
ड्राफ्ट्स drafts
एपिरस epirus
क्यूरेन curran
छबीली chhabili
और aur
